"Street/Name","stationcode","Zipcode","Invited","Turnout","Turnout percentage"
"Baard De Greidefûgel","79","8834 XM","631","408",0.646592709984152
"Weidum Dorpshuis","80","9024 EL","894","529",0.5917225950783
"Stadsschouwburg De Harmonie","1001","8911 BP","0","332",Inf
"NHL Stenden Hogeschool","1002","8917 DD","0","285",Inf
"M.f.c. Westeinde","1003","8915 DZ","0","234",Inf
"Emmastate","1004","8921 AG","0","148",Inf
"M.f.c. Camminghastins","1005","8925 CK","0","286",Inf
"Hollanderhuuske","1006","8932 ET","0","228",Inf
"Wijkcentrum Froskenburch","1007","8935 SC","0","252",Inf
"Hempens Dorpshuis de Bining","1008","9086 CH","0","165",Inf
"Goutum Dorpshuis Ien en Mien","1009","9084 BB","0","246",Inf
"Provinciehuis","1010","8911 KZ","0","196",Inf
"Grou Het Theehuis","1011","9001 BG","0","224",Inf
"Wergea Us Doarpshûs","1012","9005 PL","0","88",Inf
"Stiens It Span","1013","9051 BC","0","201",Inf
"Mantgum M.f.c. De Wjukken","1014","9022 BD","0","103",Inf
"Stadsschouwburg De Harmonie","2001","8911 BP","0","477",Inf
"NHL Stenden Hogeschool","2002","8917 DD","0","439",Inf
"M.f.c. Westeinde","2003","8915 DZ","0","362",Inf
"Emmastate","2004","8921 AG","0","228",Inf
"M.f.c. Camminghastins","2005","8925 CK","0","481",Inf
"Hollanderhuuske","2006","8932 ET","0","247",Inf
"Wijkcentrum Froskenburch","2007","8935 SC","0","289",Inf
