"Street/Name","Zipcode","Invited","Turnout","X","Y"
" Buurthuis Ons Huus","7341PB","754",491,196130.544410202,474372.38957317
" Buurthuis Overdie Ontmoet","1813KN","2083",444,111651.708249734,514308.46450296
" Buurthuis Toma","4817AP","869",293,115353.196441554,400952.206139334
" Buurthuis Vrijhoeve","5161XL","1573",608,129796.387377047,409294.756478819
" Buurthuis Wijk 16","7411AC","2000",768,208164.435169538,473529.326453106
" Buurthuis Zanddonk","5144VM","2146",897,132784.521034485,409714.586207302
" Buurthuiskamer 't Schooltje","5165AL","1024",362,125432.335818738,409805.781172452
" Buurtinfowinkel Bennekel","5654LL","2168",491,160122.117344741,381507.917952846
" Buurtinfowinkel Woensel-West","5621HB","1944",903,160191.581725786,384987.935956959
" Buurtkamer Corantijn","1058DB","1440",522,118491,486110
" Buurtkamer Fiep","1062XK","4216",1000,117650.757,484728.542
" Buurtplein Batau","3437AA","1205",1560,133586.429201851,450249.561627056
" Buurtplein Doorslag","3435EP","1205",1637,133728.242823567,448173.186865963
" Buurtsalon Jeltje","1054EG","1039",517,119699,486150
" Buurtvereniging Buytenrode","2717BG","1907",1854,92186.2280517747,453811.15002657
" Cafe 't Torenerf","1846LG","812",445,113772.999905197,511010.000150255
" Café Admiraal","6418CB","1082",483,197950.710270419,320177.860639117
" Café Bolte Gramsbergen","7783BX","932",484,242300.820093686,514478.783207289
" Café Casa Sofia","1066EC","2689",272,116664,484556
" Cafe Het Kroegje","7606DS","1300",268,0,0
" Café Restaurant Polder","1098XH","893",597,125602,485256
" Café Zaal Bee-j Bertje","6003PM","1945",682,177670.919044181,363330.034614823
" Café-Zaal 't Veehandelshuis","4841BG","1945",1001,108275.814357795,400919.579837686
" Café-zaal De Kardinaal","6225AE","0",370,179250.314262124,319135.816217081
" Café-Zalencentrum Het Witte Schaap","4814TZ","3395",929,110799.295871859,400173.703688691
" Calandhal","1068RR","0",1318,115481,485329
" Cami & Moskee","6717AD","0",494,173442.508310372,449106.649587994
" Camping 't Rheezerwold","7696HT","1206",414,0,0
" Careflex Zorgcampus","4834AA","1467",732,113916.868817688,398666.232789464
" Cartesius Lyceum","1052XN","1889",1172,0,0
" Castellum Palensteyn","2722BN","1907",743,94592.2393447263,452499.216612536
" CBS Tamarinde,INGANG J.C. VAN WESSEMSTR","1501VR","1494",499,117353.055237464,494342.880050451
" Centraal Station Centrumzijde","5611AC","969",785,161442.780803499,383692.263293881
" Centre Céramique","6221KV","0",3194,177134.974421657,317384.987756242
" Centre Manjefiek Malberg 2","6218AV","0",944,174148.156772969,319586.026374348
" Centrum 4.0","6905BH","1786",559,203507.172943925,436973.736632679
" Centrum De Meent","6986AP","1160",713,206290.705016981,445603.722034917
" Centrum Oosthonk","4005VR","1922",1088,158876.671293023,434037.874704682
" Centrum voor Ouderen De Boeg","1055SC","653",840,118199.544,487697.84
" Centrum Westroyen","4003AL","1714",1219,157984.69222371,434199.776058327
" Centrumkerk (15-3-22)","3722GR","0",2539,142820.650864724,460126.557384632
" CGK Andreaskerk","7323AB","2306",1314,196498.801941865,471418.216266613
" Chassé Hotel","1057JJ","3034",1012,119209.999,487000.545
" Chocoladefabriek","2806CA","1388",662,108951.512901951,447298.747741254
" Chr. Daltonschool De Groen","7701AT","1127",593,229351.401393011,513951.352274468
" Chr. Geref. Kerk.","7701EA","1157",421,227658.140889521,513246.969504826
" Christelijke basisschool de Eendragt","2761VL","1613",279,99625,447208
" Cinetol","1074VM","842",1023,122254,485100
" City Life Church","9401KC","1000",521,233871.543060545,556737.001074014
" CKC & Partners","2722PC","1907",526,94000.7881926973,452494.075204222
" Club Atelier","1059CM","1206",418,117888,484241
" Clubgebouw AVC Heracles","7607ZM","1300",496,243512.691698419,484989.345100609
" Clubgebouw GSV'38","6987CM","930",378,201204.337852208,444867.898701678
" Clubgebouw Tennisver. Alkemade","2371PP","1461",418,103910.000384084,469067.000587279
" Clubgebouw Vreugdeoord","2405XJ","1113",393,105301.741967264,459602.795832924
" Clubgebouw""Door Gunst Verkregen""","2376BH","590",273,102904.474038144,469904.353999421
" Clubhuis Celeritas","1827CX","1308",290,112480.564188568,519699.021613436
" Clubhuis de Toss","4834CG","1574",406,114483.598770616,398796.275559584
" Clubhuis Eresloch","5521TP","1244",587,150742.992306649,375099.004264964
" Clubhuis Theole","4002AH","2155",672,157355.995923227,433987.197076469
" Clubhuis Tiel","4005BC","2134",272,158629.731365079,434363.194058968
" Clubhuis Voetbalvereniging TGG","5233XR","1204",353,150605.400117238,414565.000416552
" CNS","7707DZ","1183",645,223363.543938448,513019.635324392
" Comenius College","2914PN","1613",714,102687.992949357,443118.999822582
" Comeniusschool","1412BW","1352",628,138735.264797881,477783.044001794
" Commanderij College Doregraaf","5421CR","1366",72,175699.514132727,395612.287203204
" Componist Maandag","9402VH","800",811,233934.999932318,558584.000771038
" Concertgebouw","1071BB","1425",1691,0,0
" Concordia","6971BT","1326",908,207428.103441171,455780.375180372
" Conscious Hotel","1054MB","1196",521,118769.559,485619.903
" Corendon City Hotel Amsterdam","1066BP","2598",424,117109.421033694,484447.535096042
" Cornelis Vrijschool","1071CW","1941",466,120436,485865
" Corneliushuis","6413GN","0",1628,194979.225993327,325390.290591498
" Crea Cultureel Studentencentrum","1018WV","784",1183,122689.983,486260.885
" Credo Church","1033BW","1603",174,121372,492029
" Cultura","6711AW","0",1368,174210.000029653,450936.000650768
" Cultureel Centrum","2252HH","1053",991,90407.2640623261,460432.257444973
" Cultureel Centrum Bullekerk","1506ED","1604",1066,116363.988162101,495350.863545688
" Cultureel Centrum CARROUSEL 2e zaal","7731EH","1254",1067,0,0
" Cultureel centrum De Halle","4571HT","1858",498,51412.8471752252,364962.563741976
