"Street/Name","stationcode","Zipcode","Invited","Turnout","merger"
"Poldertoren Emmeloord, de Deel 25 Emmeloord","15","8302EK","0",575,"171 15"
"Politiebureau ()","31","1132JV","0",4621,"385 31"
"Poortstraat 73 ingang Bladstraat","76","3572HD","1600",1091,"344 76"
"Pop-up  bij gem. gemaal","16","2993DL","2058",699,"489 16"
"Popradar Den Haag","978","2552AW","0",2630,"518 978"
"Portacabin Eulerlaan","77","3328KC","1284",974,"505 77"
"Portocabin","212","3315WX","1746",763,"505 212"
"Portocabin Drinkwatermuseum","6","2106NB","1656",641,"397 6"
"Portocabin Station","13","2106AG","1246",933,"397 13"
"Postduivenhoudersvereniging De Luchtbode","12","3343LG","827",616,"531 12"
"Postillion Hotel","55","3316EH","1309",298,"505 55"
"Prikkebeen","3","3981WC","1420",562,"312 3"
"Prins Claus Conservatorium","623","9724EM","1311",692,"14 623"
"Prins Clausschool","63","6536DB","1886",993,"268 63"
"Prins Florisschool","16","3356DA","1610",620,"590 16"
"Prins Mauritsschool","17","2628GJ","1607",895,"503 17"
"Prins Willem III-flat","61","3816DM","865",845,"307 61"
"Prinses Beatrixlaan 2","31","3554JK","741",404,"344 31"
"Prinses Beatrixschool","6","8322AK","1502",982,"184 6"
"Prinses Irene","22","1271AA","54",330,"406 22"
"Prinses Margrietstraat 10","505","3554GE","1162",385,"344 505"
"Prinses Margrietstraat 124","34","3554GJ","810",311,"344 34"
"Prinses Margrietstraat 22","29","3554GE","450",199,"344 29"
"Prinses Marijkeschool","3","7441BH","1540",919,"163 3"
"Prinsesselaan 2","683","3583GZ","1367",1831,"344 683"
"Prismare","422","7523BM","1602",2857,"153 422"
"PRO Grotius College 15 ","69","2624AX","400",710,"503 69"
"Pro Rege Kollum","28","9291EM","1490",700,"1970 28"
"ProDemos","829","2511AA","492",298,"518 829"
"Prof. H. Bavinckstraat 5A","32","3555GS","1602",587,"344 32"
"Prof. Suringarlaan 1 ingang H.F. van Riellaan","689","3571WH","1767",957,"344 689"
"Prof. van Bemmelenlaan 34 ingang Prof. Broekemalaan","86","3571EN","300",1501,"344 86"
"Prof. van Bemmelenlaan 51A","511","3571EL","1651",2727,"344 511"
"Proosdijhal ","31","1433KA","1330",3770,"358 31"
"Proson, restaurant bon appétit","16","3851ZH","1184",416,"233 16"
"Prot. Gemeente Nieuwe Kerk (vh. Opstandingskerk)","29","6824KL","2157",1306,"202 29"
"Protestantse Gemeente Glanerbrug","823","7534AT","1763",356,"153 823"
"Protestantse kerk","114","7881HR","1012",205,"114 35"
"Protestantse kerk","13","7213CN","1725",701,"262 13"
"Protestantse Kerk","2","5271BK","1398",309,"845 2"
"Protestantse kerk “De Hoeksteen”","2","2903AJ","1631",457,"502 2"
"Protestantse kerk (ma)","114","7881HR","0",394,"114 135"
"Protestantse Kerk. Petruskerk","10","8191AP","1813",855,"246 10"
"Protstantse Kerk Schoondijke","1714","4507BH","1185",585,"1714 11"
"Provincie Noord-Holland","228","2012HR","600",3757,"392 228"
"Provinciehuis","2010","8911KZ","0",3354,"80 2010"
"Provinciehuis Zuid-Holland","761","2596AW","830",246,"518 761"
"Publiekshal Raakspoort","276","2011VB","600",3665,"392 276"
"Pulchri Studio","994","2514EA","0",2558,"518 994"
"Puyckendam","19","2211NA","1603",1000,"575 19"
"Quick Boys","30","2225SE","1823",705,"537 30"
"Quiet Groningen","241","9715PA","1311",557,"14 241"
"R.K. Antoniusschool","14","1433WB","1330",765,"358 14"
"R.K. Basisschool Gummarus","3","4651KM","2453",937,"851 3"
"R.K. Kerk, de Skúl","42","9076EA","947",419,"1949 42"
"Raad voor de rechtspraak","388","2514EM","274",447,"518 388"
"Raadhuis","301","2132TZ","0",3640,"394 301"
"Raadhuis","1","2101HA","1209",1312,"397 1"
"Raadhuis","1","3361HE","1147",909,"610 1"
"Raadhuis (vervroegd 15-03-22)","201","1217JE","0",2524,"402 201"
"Raadhuis 15  2022","21","2101HA","0",2181,"397 21"
"Raadhuis Aalsmeer ","30","1431EH","1330",5237,"358 30"
"Raadhuis Amstelveen","10","1182JR","1268",1059,"362 10"
"Raadhuis Erp","15020","5469BK","0",2961,"1948 15020"
"Raadhuis Krimpen aan den IJssel","20","2922AD","0",4836,"542 20"
"RAADhuis Schijndel","101","5482NG","1075",437,"1948 101"
"Rabo Kultuurhoes Reutum","10","7667PV","1094",645,"183 10"
"Racket & Fitnesscentrum Steenwijk","16","8334RR","1864",1002,"1708 16"
"Racketcentrum Steegdenhal","21","8426GV","2096",571,"85 21"
"Radboud UMC","78","6525GA","1886",816,"268 78"
"Ravelijn Verbindt","8","7741VE","968",197,"109 8"
"Recreatiecentrum De Serre","15","2905XT","1891",531,"502 15"
"Recreatiecentrum H2O (zwembad)","22","3481WE","1429",663,"632 22"
"Recreatiezaal Mimosaflat","4","4702BR","0",483,"1674 4"
"Rector Raevenhuis","14","6174RT","517",281,"1954 14"
"Reddingiushuis","2","5751GA","1490",496,"762 2"
"Reddingsbrigade IJsselstein","7","3402TJ","1492",497,"353 7"
"Reduzum Gymlokaal Trije Doarpen Skoalle","66","9008TB","1023",607,"80 66"
"Refajahkerk","641","9728JA","1311",455,"14 641"
"Regenboogkerk Epe","5","8162HA","0",492,"232 5"
"Rehoboth","1966","9982AP","872",268,"1966 5"
"Rehoboth","8","5321TM","1427",755,"263 8"
"Rehoboth","2","3927BL","1381",825,"339 2"
"Rehoboth","34","3267AK","1545",756,"1963 34"
"Rehoboth","28","2821AP","1470",925,"1931 28"
"Rehoboth Gemeente","2","9101AB","1343",719,"1970 2"
"Rehobothkerk","4","8321RG","1520",957,"184 4"
"Rehobothkerk","4","3851LH","1299",821,"233 4"
"Rehobothkerk","5","3131LL","2808",1224,"622 5"
"Rehobothkerk ()","13","8321RG","0",915,"184 13"
"Rehobothkerk Woerden","9","3443BZ","1332",555,"632 9"
"Reimerswaalhal Kruiningen","14","4416RC","1289",627,"703 14"
"Reinaldahuis","19","2033TA","1179",617,"392 19"
"Rembrandt","43","3262HW","1666",834,"1963 43"
"Remise brandweerkazerne","7","8251KP","2298",819,"303 7"
"Remonstrantse Gemeente Twente","20","7552DA","1763",790,"164 20"
"Residentie Aquasite","28","4617AZ","2460",796,"748 28"
"Residentie Meilust","10","4614CZ","1950",702,"748 10"
"Respect, Bosch en Duin","454","2517KZ","967",334,"518 454"
"Rest. Het Roode Hert","5","7722PJ","669",453,"148 5"
"Restaurant 'de Schoppe'","18","7109AH","722",486,"294 18"
"Restaurant 'Korderijnk'","16","7391EH","1427",582,"285 16"
"Restaurant 't Huys van Bunne","5","9496PA","735",373,"1730 5"
"Restaurant Bergzicht Vijlen","6","6294AR","1196",680,"981 6"
"Restaurant bij de Buren","39","6535NB","1886",594,"268 39"
"Restaurant Bosgoed","6","7384DE","735",436,"285 6"
"Restaurant Brambergen (bijzonder )","14","1243JJ","27",75,"1696 14"
"Restaurant Cornelis","13","7751GA","1543",358,"109 13"
"Restaurant de Grenedeer","72","6247AA","0",2407,"1903 72"
"Restaurant de Hebberd","84","3825AG","866",382,"307 84"
"Restaurant De Tippe","13","8381BX","1401",577,"1701 13"
"Restaurant De Tippe, vervroegd stemmen ","24","8381BX","0",585,"1701 24"
"Restaurant De Wekker","2","5541CV","1000",529,"1667 2"
"Restaurant Hartenlust","12","7971AK","947",460,"1701 12"
"Restaurant Jagershuys","8","3707HW","1300",614,"355 8"
"Restaurant Jan's Polder","15","5509LM","1276",608,"861 15"
"Restaurant Kampanje","6","3371VJ","1413",349,"523 6"
"Restaurant Lucebert","855","5038TK","1844",978,"855 1"
"Restaurant Maaszicht","30","6071NW","316",174,"957 30"
"Restaurant Madrid","15","7722HS","512",273,"148 15"
"Restaurant Wielens","19","7846AS","712",466,"109 19"
"Restaurant Wink","51","1438AE","613",221,"394 51"
"Reynaertland","16","4561GX","1893",623,"677 16"
"Rhenendael","8","3911RM","800",541,"340 8"
"Rhônedreef 40","49","3561VA","1601",418,"344 49"
"Rietveld Theater","3","2611LH","865",356,"503 3"
"Rijksdienst voor Ondernemend Nederland","885","2595AL","0",213,"518 885"
"Rijn IJssel (Vaksch Wageningen)","16","6814BS","1448",841,"202 16"
"Rijn IJssel Kronenburgsingel","75","6831EX","1028",197,"202 75"
"Rijnzaal ()","22","3981GD","870",5510,"312 22"
"Rijserf en De Willaert","4","4881EH","294",129,"879 4"
"Rijswijks Lyceum","30","2284GA","1009",231,"603 30"
"Rijvereniging Bucephalus","30","1768BL","856",439,"1911 30"
"Ripperdahal 2","1966","9951JH","1056",1103,"1966 26"
"Rivièrabad","1930","3202ST","1735",583,"1930 3"
"RK basisschool De Brandaris","71","2036NE","1723",824,"392 71"
"RK Basisschool De Hofstee","27","1788VA","1224",1385,"400 27"
"RK Basisschool Sint Bavo","56","2026SJ","1863",1113,"392 56"
"RK kerk ","23","3852XB","0",2859,"233 23"
"RK kerk H. Laurentius","1","1616AN","1609",744,"498 1"
"RK Kerk Hoofdingang","6","7241ET","1110",759,"262 6"
"RK Parochiecentrum De Kanis","24","3471GT","873",492,"632 24"
"RK Parochiezaal, Vossenburcht 17 Tollebeek","49","8309AG","0",987,"171 49"
"RK Willibrordkerk","23","1786AC","1910",628,"400 23"
"RK-Parochie","5","3353VJ","1612",528,"590 5"
"RKBS Aventurijn","19","3994MB","0",452,"321 19"
"RKBS De Christoffel","739","2496RH","4",316,"518 739"
"RKBS De Drie Linden","374","2563HJ","2544",1314,"518 374"
"RKBS De Fontein","266","2548CK","1703",2130,"518 266"
"RKBS De Paradijsvogel","760","2496MT","1947",600,"518 760"
"RKBS De Vlinder","15","3994PB","0",1160,"321 15"
"RKBS De Vuurvlinder","723","2592GH","2243",428,"518 723"
"RKBS De Zevensprong","7","3992RD","0",1369,"321 7"
"RKBS De Zuidwester","227","2544ME","1905",346,"518 227"
"RKBS Liduinaschool","714","2595TA","2190",796,"518 714"
"RKBS Van Harte School","2","3991AA","0",828,"321 2"
"RKSV Cluzona","304","4724BL","0",1840,"1674 304"
"RKSV Driel","17","6665CB","1562",516,"1734 17"
"RKSV Vogido","111","7535CJ","1616",465,"153 111"
"RKVV Roosendaal","36","4708AP","0",365,"1674 36"
"RKVV Velsen","3","1985HT","1423",867,"453 3"
"RMHC De Pelikaan","35","4708AV","0",648,"1674 35"
"ROC Airport","63","2132XV","603",77,"394 63"
"ROC de Leijgraaf","13","5467HA","1261",488,"1948 13"
"ROC De Leijgraaf","11","5344CS","1220",448,"828 11"
"ROC Friese Poort (achteringang)","3","8602JX","1078",507,"1900 3"
"ROC Mondriaan","17","2332AA","0",692,"546 17"
"ROC Mondriaan","246","2545VX","1916",672,"518 246"
"ROC Mondriaan","790","2493WN","0",114,"518 790"
"ROC Nijmegen Campusbaan","84","6512BT","1886",181,"268 84"
"ROC ter Aa","106","5702NR","2087",525,"794 106"
"ROC van Twente","201","7543BK","1793",203,"153 201"
"ROC van Twente (B)","30","7553VZ","1699",1296,"164 30"
"ROC-TOP","572","1033SB","1795",474,"363 572"
"Roda J.C.","928","6466NH","0",182,"928 268"
"Rode Kruis De Graafschap","33","7203EL","0",2567,"301 33"
"Rode kruis gebouw","7","5463HM","2230",580,"1948 7"
"Rode Kruis gebouw","14","1185HH","1235",992,"362 14"
"Rode Kruisgebouw","15","6815CD","1524",874,"202 15"
"Rode Kruisgebouw","216","4105AA","23168",1137,"216 11"
"Rode Kruisgebouw ()","415","6815CD","0",1219,"202 415"
"Roemer Visscher College","963","2533VG","0",2449,"518 963"
"Roer College Schöndeln","14","6045CK","1116",328,"957 14"
"Romienendal","110","7122RN","0",350,"197 110"
"Rooms Katholieke Kerk Martinus","1003","6981EK","1157",351,"221 1003"
"Rosenburch","45","2321RB","0",877,"546 45"
"Rosenstock Huessy Huis","5","2011CV","1757",895,"392 5"
"Rotsoord 20","107","3523CL","1590",1049,"344 107"
"Rozenhof","13","6564CK","635",501,"1945 13"
"Rozenlaankerk","17","2935SV","1730",1199,"1931 17"
"Rozet","2","6811EP","1700",893,"202 2"
"RSC Alliance","16","4707XD","0",419,"1674 16"
"RSZK Merefelt","900","5504GB","201",95,"861 900"
"Rugbyclub Etten-Leur","777","4876NT","1677",307,"777 8"
"Ruitenvelder","23","9619PL","891",454,"1952 23"
"Ryptsjerk, De Einekoer 16 ","18","9256HR","630",389,"737 18"
"S.C.C. Den Draai (2)","22","5754AV","1000",1531,"762 22"
"S.K.C. De Leemhof","32","6691AV","1546",962,"1705 32"
"S.K.W. Barnstee (ma)","114","7826EP","0",3369,"114 157"
"S.V. Wateringse Veld Kranenburg","990","2548ZS","0",1915,"518 990"
"S.V. Wissel","8","8162PR","0",546,"232 8"
"Saffier De Drie Linden","638","2532BE","0",243,"518 638"
"Saffierlaan 10","106","3523RC","1605",868,"344 106"
"Salvatori","61","3291AT","1943",798,"1963 61"
"Salvatorkerk ()","467","6832AN","0",2906,"202 467"
"Samenwerkingsschool Balans","732","2492MA","0",1746,"518 732"
"Samenwerkingsverband Drechtsteden","12","3355RP","1612",344,"590 12"
"Samuel van Houtenstraat 1","72","3515EA","1838",1592,"344 72"
"San Salvatorkerk","651","9721HW","1311",1031,"14 651"
"Sandestein Sportzaal 2","66","2151KG","1436",1264,"394 66"
"Santvoorde (bijzonder stemlokaal)","14","3741VJ","1109",495,"308 14"
"Sassembourg","1525","2171HC","1611",733,"1525 7"
"Saxion","71","7513AL","2025",908,"153 71"
"SBB Schoorlse Duinen","11","1871HA","1418",564,"373 11"
"SBO De Bonte Vlinder","304","2565XD","1948",815,"518 304"
"SBO De Klaproos","14","6815EC","1097",563,"202 14"
"SBO De Springplank","969","2542XH","0",2523,"518 969"
"SC Badhoevedorp","49","1171EH","376",102,"394 49"
"SC Purmerland","415","1451MD","0",238,"415 6"
"SCC De Hege Fonnen ()","107","8531MV","0",2770,"1940 107"
"SCC De Poarte","45","8556AA","596",346,"1940 45"
"SCC De Pomp","32","8538RB","508",297,"1940 32"
"SCC Hofdael","1","5664HV","1686",902,"1771 1"
"Schaffelaartheater ingang Harmonie","7","3772KV","1312",962,"203 7"
"Scheidsrechtersvereniging Venlo eo","14","5915CM","2106",735,"983 14"
"Schenkelkerk","25","2906LA","1680",619,"502 25"
"Schep Partyservice","4","3412KZ","1117",599,"331 4"
"Schepenbank Oirsbeek","16","6438HC","1466",1152,"1954 16"
"Scheppingskerk","547","2352TD","0",1352,"547 4"
"Schietcentrum Odysseus","12","1791AT","583",160,"448 12"
"Schietvereniging Delden","24","7491DJ","1033",450,"1735 24"
"Schildersvakopleiding Zutphen","26","7202AG","1057",211,"301 26"
"Scholencentrum Grote Beemd","855","5035LZ","1844",956,"855 52"
"Scholengemeenschap Simon Vestdijk","3","8862TA","1384",466,"72 3"
"Scholengemeenschap Were Di","7","5553CC","1771",571,"858 7"
"School 7 Bibliotheek","4","1781BB","1333",557,"400 4"
"School aan de Vijver","11","5913TV","1932",948,"983 11"
"School Aurora","62","1335BL","1976",857,"34 62"
"School Bommelstein","56","1333TS","1795",654,"34 56"
"School Breedwijs Zuid-Berghuizen","8","7574TX","1514",678,"173 8"
"School Brouwersdijk","236","3314GR","1401",782,"505 236"
"School de Akker","7","3881XR","1444",831,"273 7"
"School De Archipel 2","77","1339PP","1818",1954,"34 77"
"School De Architect","95","1333KM","1593",521,"34 95"
"School De Argonaut","29","1317HP","1438",646,"34 29"
"School De Klaverweide","7","1357CM","1573",491,"34 7"
"School De Kraanvogel","65","1326HN","1780",465,"34 65"
"School de Kreek","23","4617NC","1872",679,"748 23"
"School De Lettertuin","46","1338TV","1768",521,"34 46"
"School De Meander","36","8219AT","1712",622,"995 36"
"School De Meiboom","58","6537HD","1886",344,"268 58"
"School De Olijfboom","57","1326AB","2312",478,"34 57"
"School De Omnibus","69","1321HE","1967",482,"34 69"
"School De Optimist","72","1328BC","1972",520,"34 72"
"School De Parel (gymzaal)","14","7206CS","1931",577,"301 14"
"School de Pelikaan","8","3882GN","1403",569,"273 8"
"School De Schakel","28","8243KW","1701",499,"995 28"
"School de Schuilplaats","11","3882HH","1264",569,"273 11"
"School De Sterredans","18","6522HE","1886",1014,"268 18"
"School De Tjalk","27","8232LT","1633",541,"995 27"
"School De Toermalijn","25","8243LR","1730",642,"995 25"
"School De Verbinding","87","1326CR","1983",162,"34 87"
"School De Wingerd","70","6546XN","1886",191,"268 70"
"School Digitalis","23","1314PE","2172",439,"34 23"
"School Het Avontuur","380","1336JG","0",3264,"34 380"
"School Het Braambos","71","2134XL","1889",671,"394 71"
"School Laetare","3","8223ZR","1747",449,"995 3"
"School Letterland","70","1321RX","2672",393,"34 70"
"School met de Bijbel","4","3417EN","1612",1007,"335 4"
"School Polygoon","105","1325KA","2515",988,"34 105"
"School Theo Thijssen (gymzaal)","12","7205BZ","1990",952,"301 12"
"School Zuiderbreedte","11","7906GA","1451",597,"118 11"
"School2care Laakhaven","988","2531SX","0",635,"518 988"
"Schoolgebouw Anne Frank","15","4205XD","1328",600,"512 15"
"Schoolgebouw Bentheimerstraat - ingang Molenstraat","6","7573CW","1474",739,"173 6"
"Schoolgebouw de Baander","62","3815DR","865",357,"307 62"
"Schoolgebouw De Dubbelster","63","3823BV","865",1037,"307 63"
"Schoolgebouw De Gondelier","64","3826EG","865",900,"307 64"
"Schoolgebouw De Malelande","85","3824BE","866",584,"307 85"
"Schoolgebouw De Regenboog","5","4207ET","1390",719,"512 5"
"Schoolgebouw De Rotonde","18","4205KK","1607",712,"512 18"
"Schoolgebouw De Zonnewijzer","66","3822CH","865",482,"307 66"
"Schoolgebouw GSG Guido vmbo","68","3817CB","865",2482,"307 68"
"Schoolgebouw Koelmanschool","19","4204TR","1604",570,"512 19"
"Schoolgebouw Noachstraat","48","2324LT","0",861,"546 48"
"Schoolplein 6","90","3581PX","1178",665,"344 90"
"Schoolstraat 13","544","3451AA","1414",5406,"344 544"
"Schooltuinen Bankrasflora","20","1183BA","1235",755,"362 20"
"Schoolvereniging Wolters","708","2597PH","2793",1106,"518 708"
"Schooneggendreef 27C","565","3562GG","855",247,"344 565"
"Schoonrewoerd Partycentrum Schoonrewoerd","26","4145KM","1400",964,"1961 26"
"Schoterhof","49","2024HT","1035",812,"392 49"
"Schouwburg Lochem","2","7241AR","1654",634,"262 2"
"Schouwburg Venray","6","5801BV","1799",900,"984 6"
"Schuttersgebouw","52","6686BS","1109",442,"1705 52"
"Schuttersgenootschap O.E.V.","18","6566EW","0",541,"1945 18"
"Schuttersvereniging Willem Tell Silvolde","17","7064BH","1589",642,"1509 17"
"Schuurkapel","26","4708DE","0",1004,"1674 26"
"Scouting Albrandswaard","1","3176PT","2013",759,"613 1"
"Scouting Andromeda Franeker","15","8801JT","1079",284,"1949 15"
"Scouting Beuningen '76","5","6551DR","1186",606,"209 5"
"Scouting Brigitta","52","2025RE","1596",842,"392 52"
"Scouting clubhuis 'De Orion' (16-03-2022)","30","1223AJ","2201",595,"402 30"
"Scouting De Mohicanen","368","2565AB","1216",500,"518 368"
"Scouting Menno Simonsz","50","2024CR","1594",421,"392 50"
"Scouting Nijkerk","9","3861PD","1084",631,"267 9"
"Scouting Sint Andriesgroep Weurt","11","6551ZZ","1186",295,"209 11"
"Scouting Sint Joris","002","6931CP","1322",318,"293 002"
"Scouting St. Tarcisius","111","6373CW","1543",587,"882 111"
"Scoutinggeb.""Wallenburch""","4","4651WB","1739",676,"851 4"
"Scoutinggebouw De Trappers","7","9606PB","1404",781,"1952 7"
"Scoutinggebouw Magnusveste, Menisweg 6 Schagen","21","1742NJ","932",430,"441 21"
"Scoutinggroep Ferguson","975","2555NB","0",4555,"518 975"
"SDO Korfbal","30","5504BR","1997",560,"861 30"
"See Lab","461","2584AW","1402",466,"518 461"
"Seniorenflat Otto Scheltus","69","3811LW","865",373,"307 69"
"Seniorensoos het Palet","8","6921MJ","1663",814,"226 8"
"Serviceflat Bermensteyn","20","2907GH","1345",462,"502 20"
"Serviceflat de Horst","14","4461WZ","1204",763,"664 14"
"Serviceflat De IJssel","13","7206DE","1036",338,"301 13"
"Serviceflat Dekkershaghe","131","2551GA","1882",812,"518 131"
"Serviceflat Hoog Heelsum","10","6871ED","1837",688,"274 10"
"Serviceflat Schinckelhove","26","2906AA","1473",454,"502 26"
"Shimano Experience Center","2","6301KZ","1598",514,"994 2"
"Sickenga-Oord, Wolvega","4","8471BS","0",49,"98 4"
"Siegerswoude, Dorpshuis","12","9248KS","666",361,"86 12"
"Singelhof","12","3155AL","1430",977,"1842 12"
"Sint Annaschool","2","4881XE","1420",343,"879 2"
"Sint Ansfriduskerk","75","3818WK","865",816,"307 75"
"Sint Gertrudiskerk","7","4611NR","2284",900,"748 7"
"Sint Jan de Doper kerk Woensdag","1655","4741AR","2295",806,"1655 19"
"Sint Joriskerk","310","3811CJ","866",14335,"307 310"
"Sint Jorisparochie","2","2982PE","1169",321,"597 2"
"Sint Jozefkerk","17","2211CB","1741",653,"575 17"
"Sint Jozefklooster","47","6543KG","1886",590,"268 47"
"Sint Jozefschool","5","5121EG","2207",901,"784 5"
"Sint Lambertuskerk","23","5988CJ","1356",910,"1894 23"
"Sint Martinuskerk","601","9726EC","1311",842,"14 601"
"Sint Pieter","2","1671CS","1558",685,"420 2"
"Sint-Franciscuskerk","271","9713LG","1311",863,"14 271"
"Sint-Nicolaaskerk","21","5768AR","1439",647,"1894 21"
"Sion","1742","7462BN","1707",1070,"1742 5"
"Sionkerk - P.G. Filadelfia","7","6813EW","1522",536,"202 7"
"Sionskerk","13","8451CD","1258",475,"74 13"
"Sionskerk","345","3904TL","1859",1087,"345 10"
"Sionskerk","4","2922EN","1179",741,"542 4"
"Sionskerk","7","3351JT","1612",644,"590 7"
"Sionskerk","21","2984BW","2116",285,"597 21"
"Sionskerk B","18","3705BP","1200",1934,"355 18"
"Siza","13","6816RP","1749",790,"202 13"
"SIZA (het Dorp) ()","306","6813CD","0",2006,"202 306"
"Sjaerdemastate","3","8801HS","862",402,"1949 3"
"Sjiwa Baarlo","202","5991XC","0",2864,"1894 202"
"SKAC, bibliotheek 15-03-2022","32","4861AT","0",2960,"1723 32"
"SKW 't Weike","25","4664BS","1631",751,"748 25"
"Slot Hotel Schagen, Slotplein 4 Schagen","10","1741CA","895",206,"441 10"
"Sluuspoort Zwartsluis","11","8064DV","1071",276,"1896 11"
"SmdB Speulderbrink","14","3852NH","616",400,"233 14"
"Smeltkroes De Keen","777","4871NH","1677",561,"777 4"
"Snackbar Café Seevanck ()","35","1474MB","0",2074,"385 35"
"SOB kazerne","5","9675HJ","1408",680,"1895 5"
"Soc. Cult. Centrum het P-Punt","77","2132VJ","1206",82,"394 77"
"Soc. Cultureel Centrum ""Het Trefpunt 2""","1525","2361ET","2030",2389,"1525 10"
"Sociaal Centrum 'De Kiekmure'","4","3842GA","845",1699,"243 4"
"Sociaal cult. centrum de Schakel","4","1111CC","1071",413,"384 4"
"Sociaal Cultureel Centrum  De Binnenstad","39","5341LK","1220",377,"828 39"
"Sociaal Cultureel Centrum 't Gebouw","14","3999NK","0",412,"321 14"
"Sociaal Cultureel Centrum de Bolder","5","1141SB","1149",802,"852 5"
"Sociaal Cultureel Centrum De Boskern","316","2134SB","0",2374,"394 316"
"Sociaal Cultureel Centrum de Kajuit","108","5482MA","1876",638,"1948 108"
"Sociaal Cultureel Centrum De Ploeg","12","3997MH","0",333,"321 12"
"Sociaal Cultureel Centrum De Veste","20","2135GJ","1889",792,"394 20"
"Sociaal Cultureel Centrum de Vink","105","5482BD","1503",689,"1948 105"
"Sociaal Cultureel Centrum De Wiese","13","3998MD","0",924,"321 13"
"Sociëteit De Dobbegaarde","6415","2331ML","0",3396,"546 6415"
"Societeit de Gezelligheid","801","5707HJ","2028",1251,"794 801"
"Sociëteit Gouden Regen","6","2923EK","1260",521,"542 6"
"Sociëteit Philharmonie","855","5025SB","1844",313,"855 13"
"Sociëteitsruimte Seniorenflat","70","3813BL","865",692,"307 70"
"SocioProject","928","6471JV","2212",3115,"928 67"
"Soestwetering 1","46","3543AZ","0",119,"344 46"
"SOL Admiraal (obs De Bron)","3","3342TA","1411",753,"531 3"
"Sonnehove (bijz. stemb.)","11","5711HA","0",36,"847 11"
"Soosgebouw d'n Dissel","1","5721LZ","2400",833,"743 1"
"Sophiastaete","17","3344PK","1182",376,"531 17"
"Space ToBe","44","1186ZV","1235",763,"362 44"
"Sparrenbosschool 16  ","377","2121CJ","1021",421,"377 12"
"Sparta Enschede","501","7531AT","1687",425,"153 501"
"Spartahal (handbalkantine), Zuiderweg 2A Schagen","715","1741NA","0",3348,"441 715"
"Speelgoed-& Carnavalsmuseum ""op Stelten""","4","4901HT","1146",784,"826 4"
"Speelgoedbank Heerenveen","2","8441BX","1349",275,"74 2"
"Speellokaal nabij CBS  Eben-Haëzer","3","2941VE","1326",613,"1931 3"
"Speeltuin Boswinkel","212","7543XT","1528",779,"153 212"
"Speeltuin D.V.S.","51","2025BP","1818",1137,"392 51"
"Speeltuin De Eenhoorn","64","2034CV","1674",297,"392 64"
"Speeltuin De Toverbal","111","1171GK","1578",402,"394 111"
"Speeltuin Geenhoven","3","5552SB","1740",469,"858 3"
"Speeltuin Jeugd en Vreugd","375","1946TS","0",243,"375 17"
"Speeltuin Kindervreugd Doesburg","1002","6981GD","971",387,"221 1002"
"Speeltuin Klarenhof","9","2013PH","1847",575,"392 9"
"Speeltuin Ons Eiland","29","2315TL","0",518,"546 29"
"Speeltuin Prinses Beatrix","50","2324CX","0",579,"546 50"
"Speeltuin Rondom de Maredijk","20","2316VP","0",681,"546 20"
"Speeltuin Schoneveld","222","7003BK","0",982,"222 6"
"Speeltuin Stadspolders","110","3315TR","1629",699,"505 110"
"Speeltuin Stadsveld","252","7545MN","1832",545,"153 252"
"Speeltuin Tuindorp","632","7544GG","1982",373,"153 632"
"Speeltuin Westerkwartier","42","2321AW","0",818,"546 42"
"Speeltuin Zeehavenkwartier","51","3317ZV","946",92,"505 51"
"Speeltuin Zuiderkwartier","3815","2313XA","0",2577,"546 3815"
"Speeltuin- en belangenvereniging kindervreugd","10","3705XD","1000",465,"355 10"
"Speeltuinvereniging Bovenburen","6","9675JW","1447",515,"1895 6"
"Speeltuinvereniging Elba","36","2021AD","1853",990,"392 36"
"speeltuinvereniging Inter Amicos","7","2282KV","1893",745,"603 7"
"Speeltuinvereniging Jonge Kracht","415","1121ET","0",281,"415 9"
"Speeltuinvereniging Kindervreugd","23","2033NH","1548",426,"392 23"
"Speeltuinvereniging Tuindorp","9","6707HR","1251",541,"289 9"
"Speelzaal lokaal De Combinatie","2","4382KB","2410",579,"718 2"
"Spektakel Zwijndrecht 2","642","3332GK","0",3928,"642 32"
"Spelzaal Kwintijn (Raalte)","30","8101EK","1750",723,"177 30"
"Spero","9","6662BK","1023",329,"1734 9"
"Spireahof","928","6466SR","911",114,"928 75"
"Spoorstraat 5","28","7641BJ","1463",1180,"189 28"
"Sport en Cultureel centrum 't Rondeel (2)","28","4285DE","1277",4330,"1959 28"
"Sport- en Recreatiecentrum ' t Gastland","3","3911PG","1200",345,"340 3"
"Sport- en Recreatiecentrum De Does","547","2351PV","0",385,"547 8"
"Sport-&Ontmoetingscentr De Laar-West ()","485","6844GA","0",3781,"202 485"
"Sportaccommodatie ‘t Timpke","2","7271BT","2060",555,"1859 2"
"Sportcafé 't Ruiven","855","5056NA","1844",854,"855 62"
"Sportcafé ""Het Hooge Wessel"" / Steenderen","19","7221BA","998",529,"1876 19"
"Sportcafé De Blaak","855","5032RR","1844",1315,"855 19"
"Sportcafe De Eijck","1525","2215KZ","1146",625,"1525 13"
"Sportcafé De Kolk","14","7577EN","1616",421,"173 14"
"Sportcafé De Marse","11","7963BZ","1303",894,"1690 11"
"Sportcafé Dongemond","779","4931AZ","0",312,"779 4"
