"Street/Name","stationcode","Zipcode","Invited","Turnout","merger"
"Basisschool  KOM Mijn","202","5951BR","1494",587,"983 202"
"Basisschool 't Schrijverke","12","5051ML","1673",984,"785 12"
"Basisschool 't Tweespan","19","9205BN","1942",693,"90 19"
"Basisschool Al Ikhlaas","68","2037EA","1439",396,"392 68"
"Basisschool Cosmicus","580","2515JT","1810",280,"518 580"
"Basisschool De Arcade","66","2314BN","0",1035,"546 66"
"Basisschool De Ark, Jozef Israëlstraat 4 Schagen","2","1741JP","1390",733,"441 2"
"Basisschool de Astronaut","49","2324ER","0",526,"546 49"
"Basisschool de Bongerd","17","7577NR","1256",727,"173 17"
"Basisschool De Brembocht","11","5506CG","927",399,"861 11"
"Basisschool De Cirkel","37","2022BL","1561",1048,"392 37"
"Basisschool De Doelakkers","7","5081XM","0",575,"798 7"
"Basisschool De Empel","18","5469SL","1282",527,"1948 18"
"Basisschool De Hasselbraam","777","4871VG","1677",117,"777 19"
"Basisschool De Hoeksteen","20","1991ET","1921",659,"453 20"
"Basisschool de Kameleon","11","7482TW","1122",610,"158 11"
"Basisschool de Kasteeltuin","26","6043XM","1008",326,"957 26"
"Basisschool De Klankhof","777","4876XB","1677",108,"777 20"
"Basisschool de Kleine Akkers","16","5051CR","1745",516,"785 16"
"Basisschool de Klinkert","1655","4731EB","1917",707,"1655 6"
"Basisschool De Klipper, Gouden Uillaan","26","2652KJ","0",646,"1621 26"
"Basisschool De Korenaer","3","5345TA","1220",1157,"828 3"
"Basisschool de Kring","105","3971PV","0",690,"1581 105"
"Basisschool De Kring","6","2011KZ","1477",700,"392 6"
"Basisschool De Laarhorst","87","6845JE","1673",352,"202 87"
"Basisschool De Linde","2","5688KB","1573",802,"823 2"
"Basisschool De Lingelaar","89","6845JE","1582",773,"202 89"
"Basisschool de Meander","8","7442BM","1146",586,"163 8"
"Basisschool de Meule","5","5914XS","1612",670,"983 5"
"Basisschool De Origon","55","1974TV","1567",633,"453 55"
"Basisschool De Piramide","9","5751VJ","1411",810,"762 9"
"Basisschool De Ranonkel","10","5711KT","1824",644,"847 10"
"Basisschool de Regenboog","104","5482BJ","1613",458,"1948 104"
"Basisschool De Spinmolen","2","1132AB","1909",1286,"385 2"
"Basisschool de Toermalijn","12","6922NP","1344",550,"226 12"
"Basisschool De Triolier","6","5953LR","1858",354,"889 6"
"Basisschool De Trumakkers","6","5591NG","1330",614,"1658 6"
"Basisschool De Vlinderboom","2","5102XS","2708",782,"766 2"
"Basisschool De Vlinderboom","11","5175TE","1760",349,"809 11"
"Basisschool De Vonder","13","5133BC","1282",389,"785 13"
"Basisschool de Wendakker","11","7576VR","1284",705,"173 11"
"Basisschool De Westbroek","19","1991NN","2247",1191,"453 19"
"Basisschool de Zuidstroom","18","5912BT","1567",548,"983 18"
"Basisschool Dick Bruna","13","5508KE","1949",898,"861 13"
"Basisschool Dommelrode","203","5492BJ","1227",519,"1948 203"
"Basisschool Dr. Ariens","12","7482ZK","1452",623,"158 12"
"Basisschool Eerschot","205","5491AB","1767",768,"1948 205"
"Basisschool Eltheto","9","7671GG","0",349,"1700 9"
"Basisschool Er-Risèlèh","40","2313AB","0",648,"546 40"
"Basisschool Floriant","15","1991BZ","1701",603,"453 15"
"basisschool Groen van Prinsterer","9","2992DN","2180",1171,"489 9"
"Basisschool het Bossche Hart 2","1655","4731EB","0",403,"1655 35"
"Basisschool het Bossche Hart 3","1655","4744BX","2064",671,"1655 16"
"Basisschool Het DOK","8","2342BT","1354",755,"579 8"
"Basisschool het klokhuis","10","6922BD","1695",682,"226 10"
"Basisschool Het Kristal","20","2286GE","1179",606,"603 20"
"Basisschool Het Mozaïek","8","2925BX","1124",888,"542 8"
"Basisschool Het Mozaïek (gymzaal Fluitekruidstr.)","65","6832HG","2244",455,"202 65"
"Basisschool Holthuizen bureau 5","5","7482ET","2688",1315,"158 5"
"Basisschool Hubertus","5","6049HS","1635",817,"957 5"
"Basisschool Lambertus","28","6071BN","1266",553,"957 28"
"Basisschool Leimundo","44","2321TA","0",657,"546 44"
"Basisschool Los Hoes","14","7483CT","1851",940,"158 14"
"Basisschool Mikado","23","5922BL","1366",401,"983 23"
"Basisschool PassePartout","103","5931KS","1500",619,"983 103"
"Basisschool PJF I, Oudelandselaan","10","2652ER","0",1335,"1621 10"
"Basisschool Sint Jan","8","5595GN","1174",292,"1658 8"
"Basisschool Sint Joseph","33","2313JE","0",787,"546 33"
"Basisschool Speelhoeve locatie Kraaijenberg","13","6601RM","1704",451,"296 13"
"Basisschool St. Jan","4","5104CL","1775",742,"766 4"
"Basisschool Starrebos","6","5081VH","0",717,"798 6"
"Basisschool Steenvoorde (gymzaal)","17","2285VD","1558",422,"603 17"
"Basisschool Ter Cleeff (Gymzaal)","42","2023EW","1931",907,"392 42"
"Basisschool Theresia","12","5258AG","2375",1047,"845 12"
"Basisschool Wantij  bureau 2","229","3313EV","1285",1029,"505 229"
"Basisschool Wethouder Brederode","18","2286MV","1543",663,"603 18"
"Basketbalveld Laan van Wateringseveld","186","2548TX","4382",1398,"518 186"
"Basketbalveld Singels","662","2497AX","0",562,"518 662"
"Bavinckschool (16-03-2022)","13","1214JS","1774",1051,"402 13"
"Beej Toën (Grubbenvorst)","15","5971CG","1972",481,"1507 15"
"Beeld en Geluid Den Haag","558","2518AD","470",256,"518 558"
"Beele Sealing Valley","104","7122AP","0",1036,"197 104"
"Beetsterzwaag, Dorpshuis","1502","9244CH","0",2956,"86 1502"
"Beetsterzwaag, Gemeentehuis","1","9244CR","1786",615,"86 1"
"Begraafplaats Emaus","16","3135JC","1616",671,"622 16"
"Begraafplaats Holy","27","3137CR","1881",854,"622 27"
"Bejaardensociëteit","11","6176AS","968",319,"888 11"
"Belvédère Rijswijk","10","2283XM","2220",738,"603 10"
"Ben Goudsmit sporthal 2","63","1185TB","1235",1099,"362 63"
"Berchmanianum","240","6525XZ","0",4736,"268 240"
"Beréa Jeugdgebouw","3","2969BG","1755",1197,"1978 3"
"Berg en Dal (Apostolisch Genootschap)","7","3743AR","1109",500,"308 7"
"Berghem Sport","13","5351AB","1220",172,"828 13"
"Berghorst","17","7951AZ","171",60,"180 17"
"Bergkerk","301","3818JC","866",5138,"307 301"
"Berkenstaete, De Bontstraat 71","13","5691SV","0",20,"848 13"
"Berkenstede","10","1112CL","0",27,"384 10"
"Berlijnplein 100 ingang via zijkant","610","3541CM","873",645,"344 610"
"Bernadottelaan 23","681","3527GA","1197",1464,"344 681"
"Bernard Vos Clubhuus","15","7137MD","1111",713,"1586 15"
"Bernardusschool","746","2597EE","1931",573,"518 746"
"Besloten  route 3","194","2584AA","0",247,"518 194"
"Bestuurscentrum (KCC)","31","6231LS","0",1753,"938 31"
"Bestuurscentrum 2 15 ","1525","2215MA","0",3767,"1525 24"
"Bestuurscentrum KCC","30","6231LS","0",327,"938 30"
"Bestuurscentrum Voorhout 2","1525","2215MA","1444",1996,"1525 14"
"Bestwijzer","3","5683AB","2263",531,"753 3"
"Beth-El-Kerk","6","2225PK","1724",810,"537 6"
"Bethelkerk","60","8934BK","1127",484,"80 60"
"Bethelkerk","2","8224AD","1226",376,"995 2"
"Bethelkerk","1","8321EW","1513",775,"184 1"
"Bethelkerk","345","3901HC","1028",483,"345 13"
"Bethelkerk","1","1781KA","1481",481,"400 1"
"Bethelkerk","2","1782KA","1247",520,"400 2"
"Bethelkerk","2","2992SG","1619",526,"489 2"
"Bethelkerk","53","3261WB","1887",1034,"1963 53"
"Bethelkerk","15","3135KZ","2297",1496,"622 15"
"Bethelkerk","2","4461NZ","1350",438,"664 2"
"Bethlehemkerk","6","3351HA","1612",467,"590 6"
"Bethlehemkerk - C3 Rivers Church ()","344","6826PM","0",1850,"202 344"
"Bethlehemkerk (vervroegd 15-03-22)","218","1215JV","0",2988,"402 218"
"Betlehemkerk","19","2612GK","2233",612,"503 19"
"Beukenhorst","107","3972HA","0",726,"1581 107"
"Beverwijkse Harmonie Kapel","375","1942EH","0",787,"375 15"
"Bevrijdingskerk","8","6703AX","1671",224,"289 8"
"Bewonersver. Noordelijk Scheveningen","957","2587HT","0",4196,"518 957"
"Bibliotheek","3","3701JZ","1600",1110,"355 3"
"Bibliotheek","22","1431BD","1330",643,"358 22"
"Bibliotheek AanZet","6","3363CK","560",1152,"610 6"
"Bibliotheek Bergambacht","12","2861XH","1568",930,"1931 12"
"Bibliotheek Bollenstreek Sassenheim","1525","2171GC","0",274,"1525 8"
"Bibliotheek Bomenbuurt","347","2561DE","3490",1855,"518 347"
"Bibliotheek Centrum","4","7511GM","2110",290,"153 4"
"Bibliotheek Edam","11","1135GP","1448",1030,"385 11"
"Bibliotheek Goirle","10","5051RD","1264",540,"785 10"
"Bibliotheek Gooi en Meer","8","1231TT","2158",970,"1696 8"
"Bibliotheek Haagse Hout","986","2593AJ","0",6040,"518 986"
"Bibliotheek Heiloo","7","1852AR","1405",1092,"399 7"
"Bibliotheek Helmond","110","5701RV","2458",602,"794 110"
"Bibliotheek Hengelo Stad","12","7551HV","1444",744,"164 12"
"Bibliotheek Houten-Centrum","26","3995DX","0",314,"321 26"
"Bibliotheek Laakkwartier","630","2522GR","2509",716,"518 630"
"Bibliotheek Leidschenveen","813","2492JT","4441",1057,"518 813"
"Bibliotheek Loosduinen","158","2552AE","4065",1410,"518 158"
"Bibliotheek Nieuw Waldeck","159","2551MR","1621",788,"518 159"
"Bibliotheek Nieuwstraat","115","2312KB","0",7368,"546 115"
"Bibliotheek Rijswijk","28","2288AG","677",392,"603 28"
"Bibliotheek Roden","4","9301AH","1699",598,"1699 4"
"Bibliotheek Segbroek","327","2562HL","6611",1338,"518 327"
"Bibliotheek Texel","2","1791VC","2292",1086,"448 2"
"Bibliotheek Transvaal","998","2526JB","0",4626,"518 998"
"Bibliotheek Twello","10","7391DH","1403",764,"285 10"
"Bibliotheek Ypenburg","812","2496SR","1536",566,"518 812"
"Bibliotheek Zutphen","32","7201JP","0",4002,"301 32"
"Bibliotheek Zwanenveld","55","6538SC","1886",1001,"268 55"
"Bie de Buuf","281","9713BV","1311",557,"14 281"
"Biej de Tant ()","33","6451CH","0",1405,"1954 33"
"bij Everts","3","2411CV","1778",907,"1901 3"
"Bij Ne9en (Heino)","200","8141AA","916",785,"177 200"
"Bij Van Houten","282","9713VA","1311",494,"14 282"
"Bijbelgemeente","105","5935AX","1884",990,"983 105"
"bijgebouw Mevlana moskee","93","3814RB","866",308,"307 93"
"Bijzonder Stembureau Station","305","5913AA","0",156,"983 305"
